,Seed,Distance Type,K,Accuracy
0,0,1,9,0.916298210409025
1,0,1,11,0.9202435415435266
2,0,1,13,0.920335032492358
3,0,1,15,0.9192439505875379
4,0,1,17,0.9221036736965328
5,0,1,19,0.9195668456638135
6,0,1,21,0.9199773701392777
7,0,1,23,0.9194122748055475
8,0,1,25,0.9176882530392949
9,0,1,27,0.9170443075780313
10,0,1,29,0.9182044751172067
11,0,1,31,0.9185266216453225
12,0,1,33,0.9188328674520033
13,0,1,35,0.9193952965788208
14,0,2,9,0.919287851007583
15,0,2,11,0.923150807062755
16,0,2,13,0.9201231607558872
17,0,2,15,0.9217222304041117
18,0,2,17,0.9191259424901821
19,0,2,19,0.9164817727933301
20,0,2,21,0.9197380932081102
21,0,2,23,0.920376628711058
22,0,2,25,0.9184962948280997
23,0,2,27,0.9182356622202898
24,0,2,29,0.9171158889784965
25,0,2,31,0.9185141045288457
26,0,2,33,0.9171391487625771
27,0,2,35,0.916759706760843
28,1,1,9,0.9141625073641285
29,1,1,11,0.9141319885911309
30,1,1,13,0.9202542996401121
31,1,1,15,0.9198933348118138
32,1,1,17,0.9189990698000728
33,1,1,19,0.9225393511487441
34,1,1,21,0.9235907563435848
35,1,1,23,0.9264540388761674
36,1,1,25,0.9269904364120088
37,1,1,27,0.9257115491518586
38,1,1,29,0.9272861365076004
39,1,1,31,0.9267701311719717
40,1,1,33,0.9262176468874593
41,1,1,35,0.926770732606613
42,1,2,9,0.904957338698881
43,1,2,11,0.9049443103414561
44,1,2,13,0.9090793122636399
45,1,2,15,0.9153003444005988
46,1,2,17,0.9152563918008881
47,1,2,19,0.9151676666191859
48,1,2,21,0.918500947853066
49,1,2,23,0.9207433330911315
50,1,2,25,0.9212784820725699
51,1,2,27,0.922047150426424
52,1,2,29,0.9231568224044218
53,1,2,31,0.9220468514332991
54,1,2,33,0.9227191908781552
55,1,2,35,0.9226616027316724
56,2,1,9,0.9336880540211064
57,2,1,11,0.9366286852776524
58,2,1,13,0.9364351124189042
59,2,1,15,0.9379973886881056
60,2,1,17,0.9401268653008994
61,2,1,19,0.9434164898698993
62,2,1,21,0.944184043946445
63,2,1,23,0.9444889225893737
64,2,1,25,0.9455978061046252
65,2,1,27,0.944577464251832
66,2,1,29,0.9428811096163628
67,2,1,31,0.9436084752373368
68,2,1,33,0.9428269799177389
69,2,1,35,0.9424419120698191
70,2,2,9,0.9380740156153646
71,2,2,11,0.9408418522862224
72,2,2,13,0.9421319447553687
73,2,2,15,0.9437863860573978
74,2,2,17,0.9445563072035531
75,2,2,19,0.942709735892481
76,2,2,21,0.9412494892379906
77,2,2,23,0.9415657127927041
78,2,2,25,0.9394535672814708
79,2,2,27,0.9390135074295415
80,2,2,29,0.939271342399227
81,2,2,31,0.9397451063173913
82,2,2,33,0.9392276903663744
83,2,2,35,0.9401177390379646
84,3,1,9,0.8890880628001279
85,3,1,11,0.8894194220065041
86,3,1,13,0.887759471644215
87,3,1,15,0.8878438122501443
88,3,1,17,0.8896673939201654
89,3,1,19,0.8922550171793573
90,3,1,21,0.8938040192479929
91,3,1,23,0.8938456005434171
92,3,1,25,0.8941265246788529
93,3,1,27,0.8934446730473546
94,3,1,29,0.891682321256449
95,3,1,31,0.8914331185124094
96,3,1,33,0.890420690514534
97,3,1,35,0.8916082560144135
98,3,2,9,0.8971061309225974
99,3,2,11,0.8968157638741464
100,3,2,13,0.8989101148797815
101,3,2,15,0.898027157599022
102,3,2,17,0.8991143766707939
103,3,2,19,0.8986985903945918
104,3,2,21,0.8984660242637084
105,3,2,23,0.897088119849193
106,3,2,25,0.8961427743884467
107,3,2,27,0.8971878655533964
108,3,2,29,0.8976109081728442
109,3,2,31,0.8968904807478278
110,3,2,33,0.8961218807450357
111,3,2,35,0.8959943323090892
112,4,1,9,0.9264291170486139
113,4,1,11,0.9284602680049536
114,4,1,13,0.9309862368427556
115,4,1,15,0.9304114032144299
116,4,1,17,0.9294701762962295
117,4,1,19,0.9302619903870742
118,4,1,21,0.928401796034211
119,4,1,23,0.9294809681871798
120,4,1,25,0.9285043794530724
121,4,1,27,0.9295901428678653
122,4,1,29,0.9294856866068162
123,4,1,31,0.9302089321095882
124,4,1,33,0.930219029543722
125,4,1,35,0.9288855161054574
126,4,2,9,0.928887481751832
127,4,2,11,0.9327824435771129
128,4,2,13,0.932058708941044
129,4,2,15,0.9304702055133253
130,4,2,17,0.932604458143955
131,4,2,19,0.9293440842359533
132,4,2,21,0.9302060561567033
133,4,2,23,0.9285033917353424
134,4,2,25,0.9272144377085224
135,4,2,27,0.9277731865898319
136,4,2,29,0.9277404970877445
137,4,2,31,0.9269476315721061
138,4,2,33,0.9269542316012103
139,4,2,35,0.9260612741160151
140,5,1,9,0.9148039470838966
