,Seed,Distance Type,K,Accuracy
0,0,1,9,0.8818422432262782
1,0,1,11,0.8803352310560196
2,0,1,13,0.8808351320455811
3,0,1,15,0.8790363186647991
4,0,1,17,0.8785385581173691
5,0,1,19,0.8804689165972952
6,0,1,21,0.8826342287093745
7,0,1,23,0.8812032476494028
8,0,1,25,0.8815250462545464
9,0,1,27,0.8839065881796292
10,0,1,29,0.883874069356785
11,0,1,31,0.8845514855278368
12,0,1,33,0.8848484989326423
13,0,1,35,0.8828997219484896
14,0,2,9,0.8831821861199588
15,0,2,11,0.8793207527354726
16,0,2,13,0.881853941633225
17,0,2,15,0.8828637023672592
18,0,2,17,0.8810910987338165
19,0,2,19,0.8836296083423177
20,0,2,21,0.884747491294424
21,0,2,23,0.8854274294074547
22,0,2,25,0.8852168783509017
23,0,2,27,0.8860566169819022
24,0,2,29,0.8854480915281207
25,0,2,31,0.884290671578097
26,0,2,33,0.8851859073312056
27,0,2,35,0.8832531390132666
28,1,1,9,0.908537776715215
29,1,1,11,0.9025017766444874
30,1,1,13,0.9049296189270896
31,1,1,15,0.9027712475971141
32,1,1,17,0.9020438620092955
33,1,1,19,0.9033103889389039
34,1,1,21,0.9020843718981176
35,1,1,23,0.9022972804925259
36,1,1,25,0.901999853835111
37,1,1,27,0.901635012154466
38,1,1,29,0.9018041499377882
39,1,1,31,0.9026236258321297
40,1,1,33,0.9052576278942716
41,1,1,35,0.9057335653889804
42,1,2,9,0.9082107201265558
43,1,2,11,0.9080467134640402
44,1,2,13,0.903713351043417
45,1,2,15,0.9065922693241871
46,1,2,17,0.907821933074064
47,1,2,19,0.9067065011772911
48,1,2,21,0.9099964222428809
49,1,2,23,0.9090727558251583
50,1,2,25,0.9091637753534295
51,1,2,27,0.9077435446435882
52,1,2,29,0.9082623189561719
53,1,2,31,0.9091734719211554
54,1,2,33,0.9097452146615431
55,1,2,35,0.9104698118216465
56,2,1,9,0.8916573762746729
57,2,1,11,0.8991441439453388
58,2,1,13,0.8993097708095756
59,2,1,15,0.9011912521495771
60,2,1,17,0.9002002259446253
61,2,1,19,0.9020226680393147
62,2,1,21,0.9025552229599311
63,2,1,23,0.9046131803146195
64,2,1,25,0.9030889517528737
65,2,1,27,0.9020325460326524
66,2,1,29,0.902318499458471
67,2,1,31,0.9040883906863094
68,2,1,33,0.9030499506854488
69,2,1,35,0.9019846194619052
70,2,2,9,0.897639156442107
71,2,2,11,0.897745160829144
72,2,2,13,0.9008029106550894
73,2,2,15,0.9004999359623911
74,2,2,17,0.901515318437309
75,2,2,19,0.901454993703123
76,2,2,21,0.9025134958119058
77,2,2,23,0.8992228974305533
78,2,2,25,0.8995414858699192
79,2,2,27,0.9000136793320089
80,2,2,29,0.8995681430048283
81,2,2,31,0.8982525218160116
82,2,2,33,0.8981186343891123
83,2,2,35,0.8993519355528777
84,3,1,9,0.8997355791507452
85,3,1,11,0.899069412482296
86,3,1,13,0.901014128902284
87,3,1,15,0.8995793340454938
88,3,1,17,0.8992882046445081
89,3,1,19,0.8979534810414876
90,3,1,21,0.8969202292574868
91,3,1,23,0.9000543616302157
92,3,1,25,0.8998086846179459
93,3,1,27,0.8999794512018657
94,3,1,29,0.9003521772419832
95,3,1,31,0.8992473943069677
96,3,1,33,0.89901311144123
97,3,1,35,0.8990752221873026
98,3,2,9,0.8935486098779798
99,3,2,11,0.8919737292662767
100,3,2,13,0.8955259025350244
101,3,2,15,0.8967361532556296
102,3,2,17,0.895030599873384
103,3,2,19,0.8961509174818407
104,3,2,21,0.8959459984424455
105,3,2,23,0.8971113877066582
106,3,2,25,0.897364743783244
107,3,2,27,0.8982041796611479
108,3,2,29,0.8988029033205909
109,3,2,31,0.8999501703839271
110,3,2,33,0.9002617555013247
111,3,2,35,0.8994322165628108
112,4,1,9,0.9045874088448818
113,4,1,11,0.9015356158661355
114,4,1,13,0.9057963403579644
115,4,1,15,0.9058496090957312
116,4,1,17,0.903320010398632
117,4,1,19,0.9073089692680745
118,4,1,21,0.9058549599370602
119,4,1,23,0.9070341099650625
120,4,1,25,0.9084825213819178
121,4,1,27,0.9090528967013584
122,4,1,29,0.9103994487437391
123,4,1,31,0.9100742094330544
124,4,1,33,0.9118236156709112
125,4,1,35,0.9106360650844821
126,4,2,9,0.9029415913280963
127,4,2,11,0.9045803398652208
128,4,2,13,0.899872520466118
129,4,2,15,0.8984956181329639
130,4,2,17,0.8980346061092266
131,4,2,19,0.9008889387341743
132,4,2,21,0.9041399029157153
133,4,2,23,0.904822536075585
134,4,2,25,0.9075656628229788
135,4,2,27,0.9091463598410919
136,4,2,29,0.9101857868659747
137,4,2,31,0.9091399424124162
138,4,2,33,0.909658686687592
139,4,2,35,0.9113679926346938
140,5,1,9,0.9060654746301787
141,5,1,11,0.909211660606406
142,5,1,13,0.9094578917964821
143,5,1,15,0.9055006743991928
144,5,1,17,0.9094913967832177
145,5,1,19,0.9135382013510845
146,5,1,21,0.9138744197602978
147,5,1,23,0.9109292229394306
148,5,1,25,0.9093501443064085
149,5,1,27,0.9083578889558466
150,5,1,29,0.9103341343390257
151,5,1,31,0.9096701892105474
152,5,1,33,0.9100228228252601
153,5,1,35,0.9094785113467213
154,5,2,9,0.9086072970040576
155,5,2,11,0.907588189774706
156,5,2,13,0.9108566979178313
157,5,2,15,0.9134119140254063
158,5,2,17,0.914682599361049
159,5,2,19,0.9157582208319046
160,5,2,21,0.9153031355723436
161,5,2,23,0.9159412645317918
162,5,2,25,0.9143545611777347
163,5,2,27,0.9146069545600591
164,5,2,29,0.9150109485777712
165,5,2,31,0.9151230861411257
166,5,2,33,0.9144545567062456
167,5,2,35,0.9140536457823893
168,6,1,9,0.9171485658209333
169,6,1,11,0.9149049704221744
170,6,1,13,0.9179027276126732
171,6,1,15,0.9170704636588437
172,6,1,17,0.9168977545069027
173,6,1,19,0.9152865382367373
174,6,1,21,0.9176713040355908
175,6,1,23,0.9168000956094211
176,6,1,25,0.9163860548051715
177,6,1,27,0.9178337505104998
178,6,1,29,0.917361049219812
179,6,1,31,0.9161256593851879
180,6,1,33,0.9165881138283436
181,6,1,35,0.9157501316309633
182,6,2,9,0.9103694407241264
183,6,2,11,0.9123259845309988
184,6,2,13,0.9061795805938546
