,Seed,Distance Type,K,Accuracy
0,0,1,9,0.6521739130434783
1,0,1,11,0.5652173913043478
2,0,1,13,0.6521739130434783
3,0,1,15,0.6956521739130435
4,0,1,17,0.6521739130434783
5,0,1,19,0.6956521739130435
6,0,1,21,0.7391304347826086
7,0,1,23,0.6956521739130435
8,0,1,25,0.6956521739130435
9,0,1,27,0.6956521739130435
10,0,1,29,0.6956521739130435
11,0,1,31,0.6956521739130435
12,0,1,33,0.7391304347826086
13,0,1,35,0.6956521739130435
14,0,2,9,0.5652173913043478
15,0,2,11,0.6086956521739131
16,0,2,13,0.5652173913043478
17,0,2,15,0.5217391304347826
18,0,2,17,0.4782608695652174
19,0,2,19,0.5652173913043478
20,0,2,21,0.5652173913043478
21,0,2,23,0.6521739130434783
22,0,2,25,0.6521739130434783
23,0,2,27,0.6521739130434783
24,0,2,29,0.6521739130434783
25,0,2,31,0.6956521739130435
26,0,2,33,0.6956521739130435
27,0,2,35,0.6956521739130435
28,1,1,9,0.2608695652173913
29,1,1,11,0.30434782608695654
30,1,1,13,0.30434782608695654
31,1,1,15,0.30434782608695654
32,1,1,17,0.30434782608695654
33,1,1,19,0.2608695652173913
34,1,1,21,0.34782608695652173
35,1,1,23,0.391304347826087
36,1,1,25,0.43478260869565216
37,1,1,27,0.391304347826087
38,1,1,29,0.391304347826087
39,1,1,31,0.43478260869565216
40,1,1,33,0.43478260869565216
41,1,1,35,0.4782608695652174
42,1,2,9,0.4782608695652174
43,1,2,11,0.43478260869565216
44,1,2,13,0.391304347826087
45,1,2,15,0.43478260869565216
46,1,2,17,0.5217391304347826
47,1,2,19,0.4782608695652174
48,1,2,21,0.4782608695652174
49,1,2,23,0.5652173913043478
50,1,2,25,0.6086956521739131
51,1,2,27,0.5652173913043478
52,1,2,29,0.6086956521739131
53,1,2,31,0.5652173913043478
54,1,2,33,0.5652173913043478
55,1,2,35,0.6521739130434783
56,2,1,9,0.43478260869565216
57,2,1,11,0.391304347826087
58,2,1,13,0.5217391304347826
59,2,1,15,0.6086956521739131
60,2,1,17,0.43478260869565216
61,2,1,19,0.43478260869565216
62,2,1,21,0.4782608695652174
63,2,1,23,0.6521739130434783
64,2,1,25,0.5217391304347826
65,2,1,27,0.6086956521739131
66,2,1,29,0.5652173913043478
67,2,1,31,0.5217391304347826
68,2,1,33,0.5652173913043478
69,2,1,35,0.5217391304347826
70,2,2,9,0.5652173913043478
71,2,2,11,0.6086956521739131
72,2,2,13,0.6086956521739131
73,2,2,15,0.5652173913043478
74,2,2,17,0.5652173913043478
75,2,2,19,0.5217391304347826
76,2,2,21,0.5217391304347826
77,2,2,23,0.6086956521739131
78,2,2,25,0.6086956521739131
79,2,2,27,0.6521739130434783
80,2,2,29,0.6086956521739131
81,2,2,31,0.6086956521739131
82,2,2,33,0.6521739130434783
83,2,2,35,0.6086956521739131
84,3,1,9,0.4782608695652174
85,3,1,11,0.5652173913043478
86,3,1,13,0.5217391304347826
87,3,1,15,0.4782608695652174
88,3,1,17,0.5217391304347826
89,3,1,19,0.4782608695652174
90,3,1,21,0.5217391304347826
91,3,1,23,0.5217391304347826
92,3,1,25,0.5217391304347826
93,3,1,27,0.4782608695652174
94,3,1,29,0.4782608695652174
95,3,1,31,0.4782608695652174
96,3,1,33,0.4782608695652174
97,3,1,35,0.5217391304347826
98,3,2,9,0.6086956521739131
99,3,2,11,0.6521739130434783
100,3,2,13,0.6521739130434783
101,3,2,15,0.6956521739130435
102,3,2,17,0.6521739130434783
