,Seed,Distance Type,K,Accuracy
0,0,1,9,0.6086956521739131
1,0,1,11,0.6521739130434783
2,0,1,13,0.5652173913043478
3,0,1,15,0.5217391304347826
4,0,1,17,0.5652173913043478
5,0,1,19,0.5652173913043478
6,0,1,21,0.6086956521739131
7,0,1,23,0.5652173913043478
8,0,1,25,0.6521739130434783
9,0,1,27,0.6521739130434783
10,0,1,29,0.6521739130434783
11,0,1,31,0.6086956521739131
12,0,1,33,0.6086956521739131
13,0,1,35,0.6086956521739131
14,0,2,9,0.6086956521739131
15,0,2,11,0.6086956521739131
16,0,2,13,0.6086956521739131
17,0,2,15,0.5652173913043478
18,0,2,17,0.6521739130434783
19,0,2,19,0.6521739130434783
20,0,2,21,0.6086956521739131
21,0,2,23,0.6521739130434783
22,0,2,25,0.6521739130434783
23,0,2,27,0.6521739130434783
24,0,2,29,0.6086956521739131
25,0,2,31,0.5652173913043478
26,0,2,33,0.5652173913043478
27,0,2,35,0.5652173913043478
28,1,1,9,0.5652173913043478
29,1,1,11,0.5652173913043478
30,1,1,13,0.5217391304347826
31,1,1,15,0.4782608695652174
32,1,1,17,0.4782608695652174
33,1,1,19,0.4782608695652174
34,1,1,21,0.4782608695652174
35,1,1,23,0.391304347826087
36,1,1,25,0.43478260869565216
37,1,1,27,0.391304347826087
38,1,1,29,0.391304347826087
39,1,1,31,0.391304347826087
40,1,1,33,0.391304347826087
41,1,1,35,0.34782608695652173
42,1,2,9,0.43478260869565216
43,1,2,11,0.5217391304347826
44,1,2,13,0.4782608695652174
45,1,2,15,0.43478260869565216
46,1,2,17,0.43478260869565216
47,1,2,19,0.5652173913043478
48,1,2,21,0.5652173913043478
49,1,2,23,0.5652173913043478
50,1,2,25,0.5652173913043478
51,1,2,27,0.5217391304347826
52,1,2,29,0.5217391304347826
53,1,2,31,0.5217391304347826
54,1,2,33,0.5217391304347826
55,1,2,35,0.4782608695652174
56,2,1,9,0.6521739130434783
57,2,1,11,0.5652173913043478
58,2,1,13,0.6086956521739131
59,2,1,15,0.5217391304347826
60,2,1,17,0.5217391304347826
61,2,1,19,0.43478260869565216
62,2,1,21,0.4782608695652174
63,2,1,23,0.391304347826087
64,2,1,25,0.43478260869565216
65,2,1,27,0.5217391304347826
66,2,1,29,0.5217391304347826
67,2,1,31,0.5652173913043478
68,2,1,33,0.6086956521739131
69,2,1,35,0.5652173913043478
70,2,2,9,0.6086956521739131
71,2,2,11,0.6521739130434783
72,2,2,13,0.6521739130434783
73,2,2,15,0.6521739130434783
74,2,2,17,0.5217391304347826
75,2,2,19,0.5652173913043478
76,2,2,21,0.5217391304347826
77,2,2,23,0.6521739130434783
78,2,2,25,0.6521739130434783
79,2,2,27,0.5217391304347826
80,2,2,29,0.6086956521739131
81,2,2,31,0.5652173913043478
82,2,2,33,0.6521739130434783
83,2,2,35,0.6521739130434783
84,3,1,9,0.6086956521739131
85,3,1,11,0.4782608695652174
86,3,1,13,0.5217391304347826
87,3,1,15,0.5217391304347826
88,3,1,17,0.5652173913043478
89,3,1,19,0.5652173913043478
90,3,1,21,0.43478260869565216
91,3,1,23,0.391304347826087
92,3,1,25,0.4782608695652174
93,3,1,27,0.4782608695652174
94,3,1,29,0.4782608695652174
95,3,1,31,0.5217391304347826
96,3,1,33,0.5217391304347826
97,3,1,35,0.5652173913043478
98,3,2,9,0.6521739130434783
99,3,2,11,0.5652173913043478
100,3,2,13,0.5217391304347826
101,3,2,15,0.5217391304347826
102,3,2,17,0.4782608695652174
103,3,2,19,0.5652173913043478
104,3,2,21,0.5217391304347826
105,3,2,23,0.6521739130434783
106,3,2,25,0.6086956521739131
107,3,2,27,0.5652173913043478
108,3,2,29,0.5652173913043478
109,3,2,31,0.5652173913043478
110,3,2,33,0.5652173913043478
111,3,2,35,0.6086956521739131
112,4,1,9,0.391304347826087
113,4,1,11,0.30434782608695654
114,4,1,13,0.391304347826087
115,4,1,15,0.391304347826087
116,4,1,17,0.391304347826087
117,4,1,19,0.43478260869565216
118,4,1,21,0.43478260869565216
119,4,1,23,0.43478260869565216
120,4,1,25,0.391304347826087
121,4,1,27,0.391304347826087
122,4,1,29,0.391304347826087
123,4,1,31,0.391304347826087
124,4,1,33,0.34782608695652173
125,4,1,35,0.34782608695652173
126,4,2,9,0.34782608695652173
127,4,2,11,0.21739130434782608
128,4,2,13,0.391304347826087
129,4,2,15,0.391304347826087
130,4,2,17,0.43478260869565216
131,4,2,19,0.43478260869565216
132,4,2,21,0.391304347826087
133,4,2,23,0.391304347826087
134,4,2,25,0.43478260869565216
135,4,2,27,0.391304347826087
136,4,2,29,0.43478260869565216
137,4,2,31,0.391304347826087
138,4,2,33,0.43478260869565216
139,4,2,35,0.391304347826087
140,5,1,9,0.391304347826087
141,5,1,11,0.391304347826087
142,5,1,13,0.391304347826087
143,5,1,15,0.5217391304347826
144,5,1,17,0.43478260869565216
145,5,1,19,0.5652173913043478
146,5,1,21,0.5217391304347826
147,5,1,23,0.5217391304347826
148,5,1,25,0.5652173913043478
149,5,1,27,0.5217391304347826
150,5,1,29,0.5217391304347826
151,5,1,31,0.6086956521739131
152,5,1,33,0.5217391304347826
153,5,1,35,0.4782608695652174
154,5,2,9,0.4782608695652174
155,5,2,11,0.43478260869565216
156,5,2,13,0.43478260869565216
157,5,2,15,0.43478260869565216
158,5,2,17,0.4782608695652174
159,5,2,19,0.4782608695652174
160,5,2,21,0.4782608695652174
161,5,2,23,0.43478260869565216
162,5,2,25,0.4782608695652174
163,5,2,27,0.4782608695652174
164,5,2,29,0.5217391304347826
165,5,2,31,0.5652173913043478
166,5,2,33,0.5217391304347826
167,5,2,35,0.5217391304347826
168,6,1,9,0.7391304347826086
169,6,1,11,0.6956521739130435
170,6,1,13,0.5217391304347826
171,6,1,15,0.5217391304347826
172,6,1,17,0.5652173913043478
173,6,1,19,0.6086956521739131
174,6,1,21,0.6521739130434783
175,6,1,23,0.6956521739130435
176,6,1,25,0.6956521739130435
177,6,1,27,0.6086956521739131
178,6,1,29,0.6086956521739131
179,6,1,31,0.6086956521739131
180,6,1,33,0.6956521739130435
181,6,1,35,0.6956521739130435
182,6,2,9,0.6521739130434783
183,6,2,11,0.6086956521739131
184,6,2,13,0.5652173913043478
185,6,2,15,0.6086956521739131
186,6,2,17,0.6956521739130435
187,6,2,19,0.6521739130434783
188,6,2,21,0.7391304347826086
189,6,2,23,0.7391304347826086
190,6,2,25,0.6086956521739131
191,6,2,27,0.5217391304347826
192,6,2,29,0.4782608695652174
193,6,2,31,0.5652173913043478
194,6,2,33,0.5652173913043478
195,6,2,35,0.6086956521739131
